algorithm,order,grid_size,iterations,time_ms,bandwidth_gbps
global,2,256 x 256,100,0.556384,282.694
global,2,512 x 512,100,0.867232,725.464
global,2,1024 x 1024,100,2.7481,915.755
global,2,2048 x 2048,100,9.12966,1102.6
global,2,4096 x 4096,100,34.6179,1163.14
global,4,256 x 256,100,0.549408,477.139
global,4,512 x 512,100,0.9616,1090.45
global,4,1024 x 1024,100,3.09939,1353.27
global,4,2048 x 2048,100,10.4932,1598.87
global,4,4096 x 4096,100,39.7578,1687.94
global,8,256 x 256,100,0.566336,833.179
global,8,512 x 512,100,1.20685,1563.94
global,8,1024 x 1024,100,4.0576,1860.64
global,8,2048 x 2048,100,13.6522,2212.02
global,8,4096 x 4096,100,50.2889,2402.04
block,2,256 x 256,100,0.721024,218.143
block,2,512 x 512,100,0.728576,863.528
block,2,1024 x 1024,100,2.56266,982.021
block,2,2048 x 2048,100,9.15568,1099.46
block,2,4096 x 4096,100,35.2702,1141.63
block,4,256 x 256,100,1.0151,258.243
block,4,512 x 512,100,0.73344,1429.67
block,4,1024 x 1024,100,2.58758,1620.93
block,4,2048 x 2048,100,9.28957,1806.03
block,4,4096 x 4096,100,35.7693,1876.16
block,8,256 x 256,100,1.01014,467.121
block,8,512 x 512,100,0.876416,2153.59
block,8,1024 x 1024,100,2.76227,2733.17
block,8,2048 x 2048,100,9.76211,3093.49
block,8,4096 x 4096,100,37.3118,3237.48
shared,2,256 x 256,100,0.730048,215.447
shared,2,512 x 512,100,0.850208,739.99
shared,2,1024 x 1024,100,2.59405,970.137
shared,2,2048 x 2048,100,8.88394,1133.09
shared,2,4096 x 4096,100,33.3321,1208
shared,4,256 x 256,100,0.730752,358.732
shared,4,512 x 512,100,0.982112,1067.67
shared,4,1024 x 1024,100,2.78157,1507.89
shared,4,2048 x 2048,100,8.96051,1872.35
shared,4,4096 x 4096,100,33.3217,2013.97
shared,8,256 x 256,100,0.846016,557.743
shared,8,512 x 512,100,1.33642,1412.31
shared,8,1024 x 1024,100,3.3839,2231.08
shared,8,2048 x 2048,100,10.939,2760.66
shared,8,4096 x 4096,100,41.8833,2884.11
